model_name,series,year_model,product_status,top_wood,back_sides_wood,shape,neck,pickup_eq,bracing,bridge,fingerboard,nut_saddle,tuner,strings,inlays,top_color,back_sides_color,headstock_facia,bridge_pins,neck_meets_body,num_frets,overall_length_mm,body_width_mm,body_depth_heel_mm,body_depth_base_mm,scale_mm,scale_inches,nut_width_mm,nut_width_inches,binding,purfling,armrest,body_finish,headstock_plate,neck_joint,case_bag,primary_image_url,source_url
AC65,Artist Guitars Series,2024,current,Solid A+ Western Red Cedar,African Mahogany,Classical,African Mahogany,,Tradtional Fan,Indian Laurel,Indian Laurel,Bone,Chome Plate w/Black Buttons,D'Addario EXP46N,MOP,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,,12th Fret,19,998,374,96,104,650,25 19/32,52,2  1/16,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AC65_Front-Left_3-4.png,https://alvarezguitars.com/guitar/ac65/
AC65ce,Artist Guitars Series,2024,current,Solid A+ Western Red Cedar,African Mahogany,Classical,African Mahogany,LR Baggs StagePro Bronze,Tradtional Fan,Indian Laurel,Indian Laurel,Bone,Chome Plate w/Black Buttons,D'Addario EXP46N,MOP,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,,"19, 12th, 19th Fret",19,998,374,96,104,650,25 19/32,52,2  1/16,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AC65ce_Left_3-4.png,https://alvarezguitars.com/guitar/ac65ce/
ABT60e,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Baritone,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D’Addario EXP23,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,20,1085,420,102,122,704,27 23/32,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/ABT60e_Left_3-4-3.png,https://alvarezguitars.com/guitar/abt60e/
AD30,Artist Guitars Series,2024,current,Solid A Sitka Spruce,Sapeli,Dreadnought,African Mahogany,,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,Decal & ABS,Natural/Semi Gloss,Natural/Open Pore,,ABS,14th,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,Techwood,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD30_Left_3-4.png,https://alvarezguitars.com/guitar/ad30-2/
ABT60ce 8-String Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Baritone,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D’Addario EXP23,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,20,1085,420,102,122,704,27 23/32,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/ABT60ce8-String-Shadowburst_Left_3-4-1.png,https://alvarezguitars.com/guitar/abt60ce-8-string-shadowburst/
AD60ce 12-String,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1047-12,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,,PPS Synthetic Bone,14th,21,1082,395,100,122,648,25 1/2,48,1 8/9,,,,,Techwood,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD60ce-12-String__Left_3-4.png,https://alvarezguitars.com/guitar/ad60ce-12-string/
ABT60ce Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Baritone,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D’Addario EXP23,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,20,1085,420,102,122,704,27 23/32,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/ABT60ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/abt60ce-shadowburst/
AC70Hce Armrest,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,Classical,African Mahogany,LR Baggs StagePro Bronze,Tradtional Fan,Indian Rosewood,East Indian Rosewood,Bone,Chome Plate w/Black Buttons,D'Addario EXP46N,MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,,14th Fret,22,1032,374,88,98,650,25 19/32,48,1 7/8,,,Slim Rosewood Bevel,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AC70Hce-Armrest_Left_3-4.png,https://alvarezguitars.com/guitar/ac70hce-armrest/
ABT60,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Baritone,African Mahogany,,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D’Addario EXP23,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,20,1085,420,102,122,704,27 23/32,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/ABT60_Left_3-4.png,https://alvarezguitars.com/guitar/abt60/
AB60ce,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Bass,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario EXPPBB170,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,15th,20,1162,420,102,122,813,32,43,1 11/16,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AB60ce_Left_3-4-2.png,https://alvarezguitars.com/guitar/ab60ce/
AD30CE,Artist Guitars Series,2024,current,Solid A Sitka Spruce,Sapeli,Dreadnought,African Mahogany,SYS250,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,Decal & ABS,Natural/Semi Gloss,Natural/Semi Gloss,,ABS,14th,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,Techwood,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD30CE_Front-Left_3-4.png,https://alvarezguitars.com/guitar/ad30ce/
AC70,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,Classical,African Mahogany,,Tradtional Fan,Indian Rosewood,East Indian Rosewood,Bone,Chome Plate w/Black Buttons,D'Addario EXP46N,MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,,12th Fret,19,998,374,96,104,650,25 19/32,52,2  1/16,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AC70_Left_-4.png,https://alvarezguitars.com/guitar/ac70/
ABT60ce 8-String Black,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Baritone,African Mahogany,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D’Addario EXP23,MOP & Arylic,Black/Gloss,Black/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th,20,1085,420,102,122,704,27 23/32,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/ABT60ce-8-String-Black_Left_3-4.png,https://alvarezguitars.com/guitar/abt60ce-8-string-black/
AC65Hce,Artist Guitars Series,2024,current,Solid A+ Western Red Cedar,African Mahogany,Classical,African Mahogany,LR Baggs StagePro Bronze,Tradtional Fan,Indian Laurel,Indian Laurel,Bone,Chome Plate w/Black Buttons,D'Addario EXP46N,MOP,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,,14th Fret,22,1032,374,96,104,650,25 19/32,48,1 7/8,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AC65Hce_Left_3-4.png,https://alvarezguitars.com/guitar/ac65hce/
AD60,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Dreadnought,African Mahogany,,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AD60_Left_3-4.png,https://alvarezguitars.com/guitar/ad60/
